peak_id	qc
5772	1
984	1
4656	1
1822	1
6288	1
4586	0
6580	1
5967	1
6025	1
6730	1
6715	1
6858	1
6411	1
6423	1
6086	1
6579	1
5919	1
1546	1
1643	1
5597	1
6210	1
5214	1
2001	1
6536	1
1291	1
1992	1
6862	1
3652	1
2404	1
7007	1
1133	1
5959	0
1393	1
2536	1
2232	1
2146	1
2147	1
2318	1
2252	1
6714	1
5686	1
1920	1
1478	1
1738	1
1138	1
5319	1
3038	1
6420	1
4721	0
4945	1
4862	1
4920	1
2362	1
6433	1
941	1
6561	1
1405	1
5334	1
6405	1
5421	1
6838	1
2090	1
2320	1
6404	1
4185	1
4934	1
5963	1
5473	1
6273	1
1669	1
5834	1
1670	1
5833	1
5390	1
2408	1
7021	1
5857	1
5487	1
6149	1
5347	1
5681	1
1593	1
1594	1
5682	1
6857	1
1538	1
5333	1
4910	0
5768	1
1806	0
2217	1
2115	1
7004	1
6668	1
3493	1
4597	1
6813	0
4832	0
869	0
2036	0
5989	0
4366	0
4574	0
5749	0
6710	1
5665	1
6269	1
5981	1
5523	1
6559	1
6696	1
6891	1
5666	1
6927	1
6719	1
6322	1
2242	1
2148	1
5837	1
5253	1
2058	1
6408	1
5266	1
6148	1
6936	1
6712	1
2325	1
6713	1
5669	1
5656	1
5409	1
5991	1
325	1
42	1
2611	1
3379	1
635	1
3025	1
3026	1
356	1
3180	1
3304	0
147	1
212	1
3179	1
267	1
2860	1
162	1
236	1
2665	1
3024	1
120	1
96	1
2806	1
84	1
2890	1
173	1
3036	0
3378	1
2846	1
302	1
2729	1
2979	1
309	1
3167	1
3168	1
3289	1
3290	1
260	1
2723	1
2774	1
78	1
41	1
79	1
231	1
355	1
405	1
5384	1
1950	1
5835	1
1019	1
5690	1
5698	1
5377	1
1595	1
7072	1
2365	1
2438	1
5862	1
2347	1
6463	1
4937	1
5100	1
5368	1
1743	1
5969	1
6896	1
2245	1
6698	1
2353	1
2354	1
3566	1
4726	1
5488	1
6119	1
3731	0
6783	1
5579	1
6507	1
2272	0
6109	1
3404	0
3405	0
4161	0
74	1
4514	1
3495	1
75	1
228	1
3771	0
2802	1
3527	1
4671	1
343	1
2808	1
247	1
2715	1
2963	1
3354	1
5403	1
676	1
3372	1
1750	1
6193	1
5014	1
6723	0
4546	1
5188	1
4331	1
688	1
3928	1
4469	1
836	1
5449	1
1467	1
5438	1
5830	1
464	1
3327	1
3463	1
4136	1
5580	0
5595	0
6700	0
1790	0
1233	0
4477	0
1010	0
5136	0
3937	1
2087	0
2411	0
6429	0
4194	0
4063	1
4195	1
4203	1
796	1
797	1
4204	1
3927	0
375	1
376	1
3084	1
3925	1
3538	1
3520	1
4125	1
114	1
196	1
2910	1
3998	1
3999	1
597	1
546	1
3513	1
3549	1
4430	1
3924	1
5169	1
820	1
4277	1
766	1
819	1
628	1
3761	1
352	1
3850	1
3851	1
3842	1
4061	1
446	1
295	1
3619	1
557	1
4062	1
4278	1
737	1
4868	1
4077	1
736	1
4076	1
400	1
3175	1
399	1
3299	1
6095	1
6335	1
6415	1
6756	1
6174	1
6284	1
2348	1
2431	1
6859	1
2352	1
4658	1
1171	1
5006	1
4777	1
5128	1
7041	1
2249	1
1940	1
6462	1
2235	1
6683	1
6872	1
1917	1
2064	1
2450	1
2308	1
6835	1
3954	1
4229	1
4438	1
3486	1
3651	1
725	1
874	1
4041	1
1596	1
4431	1
4989	1
2219	1
2417	1
6893	1
2430	1
5641	1
5491	1
5892	1
556	1
5808	1
4554	1
5711	1
1501	1
1880	1
5935	1
6141	1
1582	1
1224	1
2425	1
4902	1
5092	1
4761	1
6280	1
